size,function,avg_ms,stddev_ms
64,mv_row_major,0.0020334,0.000871734
64,mv_col_major,0.00443545,0.00181468
64,mm_naive,0.351846,0.438274
64,mm_transposed_b,0.126742,0.0730503
64,mm_optimized,0.0693792,0.0186308
128,mv_row_major,0.0056562,9.21638e-05
128,mv_col_major,0.0121938,0.000110614
128,mm_naive,1.59885,0.00999228
128,mm_transposed_b,0.720085,0.00271691
128,mm_optimized,0.405856,0.00347975
256,mv_row_major,0.0305876,0.000825161
256,mv_col_major,0.0695124,0.00335166
256,mm_naive,18.3181,0.126508
256,mm_transposed_b,9.17798,0.0392309
256,mm_optimized,3.67675,0.024557
512,mv_row_major,0.166764,0.0631289
512,mv_col_major,0.419242,0.254654
512,mm_naive,184.089,12.5605
512,mm_transposed_b,77.3535,1.23002
512,mm_optimized,34.7869,2.64299
1024,mv_row_major,0.720327,0.00244212
1024,mv_col_major,1.44778,0.0321276
1024,mm_naive,2035.49,9.80046
1024,mm_transposed_b,740.791,35.2292
1024,mm_optimized,309.573,0.352854
